Index,tracks,Timestamp,X,Y,Z,Speed_X,Speed_Y,Speed_Z,Speed,Year,Month,Day,Hour,Min,Sec
549477,8,1579017240.04047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,0.040471354
549482,8,1579017240.72921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,0.729213542
549494,8,1579017243.5844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,3.584401042
549499,8,1579017244.28634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,4.28634375
549503,8,1579017245.6242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,5.624195312
549506,8,1579017246.27595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,6.275953125
549552,8,1579017261.26298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,21.262976563
549553,8,1579017261.90271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,21.902710938
549560,8,1579017264.08758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,24.087580729
549563,8,1579017264.60136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,24.601364583
549568,8,1579017267.06543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,27.065434896
549577,8,1579017270.70497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,30.704966146
549582,8,1579017271.35067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,31.350671875
549605,8,1579017286.44952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,46.449523438
549608,8,1579017287.09012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,47.090122396
549612,8,1579017287.70122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,54,47.701216146
549652,8,1579017309.47675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,55,9.476747396
549682,8,1579017319.95857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,55,19.958565104
549695,8,1579017321.99101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,55,21.991007812
549702,8,1579017324.05374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,14,15,55,24.053744792
549705,8,1579017325.19597,NaN,NaN,NaN,NaN,NaN,-21.4857864959358,NaN,2020,1,14,15,55,25.195966146
549714,8,1579017327.84747,NaN,NaN,NaN,NaN,21.4956804852765,-9.25578380563891,NaN,2020,1,14,15,55,27.847466146
549722,8,1579017328.93701,NaN,NaN,NaN,-31.238121159622,-1.48341658024429,-27.2671724336982,41.4911970285601,2020,1,14,15,55,28.937007812
549734,8,1579017332.14747,-1492.83136358997,-1185.94133921992,-317.075144600415,10.6013416244638,0.503429955284604,-9.25371307146482,14.080947822056,2020,1,14,15,55,32.147466146
549745,8,1579017344.33155,-1414.36326609005,-1154.27700782008,-330.709428287678,-0.157873141511333,0.734587733685972,-0.585894988497112,0.952793789252733,2020,1,14,15,55,44.331546875
549747,8,1579017344.87706,-1401.85038665996,-1147.13196555059,-347.214247833451,-3.5261292713657,16.4071689797323,-13.0860857591708,21.2808463662573,2020,1,14,15,55,44.877057292
549758,8,1579017346.52008,-1433.27170091006,-1155.17491988,-363.870792186959,-4.84815286599402,2.15451535470097,-13.16731975341,14.1959442135502,2020,1,14,15,55,46.520080729
549765,8,1579017348.69472,-1408.13594130997,-1144.96331120003,-363.199116200563,3.59057252984221,1.62781529129543,-9.94839252048503,10.7010516986077,2020,1,14,15,55,48.694721354
549767,8,1579017349.30523,-1415.43189885002,-1149.30463247001,-351.180131913647,-12.9185587390449,0.607505830586682,-1.98033943445918,13.0835762505526,2020,1,14,15,55,49.305234375
549773,8,1579017350.55164,-1419.85723932995,-1145.79788004048,-378.766862329925,NaN,0.0994554007025804,-5.21064371293277,5.21159277763092,2020,1,14,15,55,50.55163802
549779,8,1579017351.7505,-1422.33557223005,-1147.33801461011,-371.724325601015,-6.47975453458591,0.915053984544468,-7.47080635003972,9.93164085853446,2020,1,14,15,55,51.750497396
549781,8,1579017352.31657,-1415.47562397004,-1144.90074050054,-368.846597952592,-3.83902465357813,4.24214952154163,NaN,5.72135847975781,2020,1,14,15,55,52.316570313
